doc_id,file,algorithm,n_tokens,n_gold,n_retrieved,P@5,R@5,F1@5,nDCG@5,P@10,R@10,F1@10,nDCG@10,P@20,R@20,F1@20,nDCG@20,P@50,R@50,F1@50,nDCG@50,AP,MRR
3,DESARROLLO DE LA ACTIVIDAD TURISTICA.pdf,textrank,2463,7,1218,0.6,0.42857142857142855,0.5,0.6843515475204855,0.3,0.42857142857142855,0.3529411764705882,0.5546406709327603,0.2,0.5714285714285714,0.29629629629629634,0.631315484925653,0.08,0.5714285714285714,0.14035087719298248,0.631315484925653,0.4435421180068816,1.0
4,DISEÑO DE UN ECOLODGE VIVENCIAL-CHACHAPOYAS.pdf,tfidf,15782,5,2129,0.4,0.4,0.4000000000000001,0.5531464700081437,0.2,0.4,0.26666666666666666,0.5531464700081437,0.1,0.4,0.16000000000000003,0.5531464700081437,0.08,0.8,0.14545454545454545,0.6807695501381804,0.4399210487553395,1.0
4,DISEÑO DE UN ECOLODGE VIVENCIAL-CHACHAPOYAS.pdf,bbidf,15782,5,2129,0.4,0.4,0.4000000000000001,0.5087403079104241,0.2,0.4,0.26666666666666666,0.5087403079104241,0.1,0.4,0.16000000000000003,0.5087403079104241,0.08,0.8,0.14545454545454545,0.6442003732153501,0.3859540229885058,1.0
4,DISEÑO DE UN ECOLODGE VIVENCIAL-CHACHAPOYAS.pdf,textrank,15782,5,2129,0.2,0.2,0.20000000000000004,0.16958010263680806,0.1,0.2,0.13333333333333333,0.16958010263680806,0.15,0.6,0.24,0.34140313762622626,0.08,0.8,0.14545454545454545,0.40246259933079154,0.16340862036514212,0.3333333333333333
5,Dialnet-GestionPublicaDelTurismoEnLaSatisfaccionDeLosTuris-9864976.pdf,tfidf,2356,11,813,1.0,0.45454545454545453,0.625,1.0,0.8,0.7272727272727273,0.761904761904762,0.8701249883466593,0.4,0.7272727272727273,0.5161290322580645,0.8197952605303637,0.2,0.9090909090909091,0.32786885245901637,0.897980173710198,0.7851559501573575,1.0
5,Dialnet-GestionPublicaDelTurismoEnLaSatisfaccionDeLosTuris-9864976.pdf,bbidf,2356,11,813,1.0,0.45454545454545453,0.625,1.0,0.8,0.7272727272727273,0.761904761904762,0.857980942822373,0.4,0.7272727272727273,0.5161290322580645,0.8083536503044675,0.18,0.8181818181818182,0.29508196721311475,0.8475864693649822,0.7377944794130805,1.0
5,Dialnet-GestionPublicaDelTurismoEnLaSatisfaccionDeLosTuris-9864976.pdf,textrank,2356,11,813,1.0,0.45454545454545453,0.625,1.0,0.8,0.7272727272727273,0.761904761904762,0.8603818544462509,0.4,0.7272727272727273,0.5161290322580645,0.8106156885134234,0.18,0.8181818181818182,0.29508196721311475,0.8528748799248329,0.7463949843260188,1.0
6,EVALUACIÓN DE LA CULTURA TURÍSTICA Y SU INFLUENC.pdf,tfidf,4547,7,1374,0.6,0.42857142857142855,0.5,0.7227265726449519,0.5,0.7142857142857143,0.588235294117647,0.7703689102037634,0.3,0.8571428571428571,0.4444444444444444,0.8390879934323361,0.14,1.0,0.24561403508771928,0.8998534556023046,0.7156926406926407,1.0
6,EVALUACIÓN DE LA CULTURA TURÍSTICA Y SU INFLUENC.pdf,bbidf,4547,7,1374,0.6,0.42857142857142855,0.5,0.6843515475204855,0.5,0.7142857142857143,0.588235294117647,0.7441790405874917,0.35,1.0,0.5185185185185185,0.8831694523315587,0.14,1.0,0.24561403508771928,0.8831694523315587,0.6956916099773244,1.0
6,EVALUACIÓN DE LA CULTURA TURÍSTICA Y SU INFLUENC.pdf,textrank,4547,7,1374,0.6,0.42857142857142855,0.5,0.6843515475204855,0.4,0.5714285714285714,0.47058823529411764,0.6462661152375239,0.35,1.0,0.5185185185185185,0.847837690057094,0.14,1.0,0.24561403508771928,0.847837690057094,0.610204081632653,1.0
7,Eevaluaci_on de los recursos turisticos.magdalena.pdf,tfidf,2731,6,1084,0.4,0.3333333333333333,0.3636363636363636,0.27727342735504823,0.2,0.3333333333333333,0.25,0.24738635904833417,0.25,0.8333333333333334,0.3846153846153846,0.4758426178727888,0.12,1.0,0.21428571428571425,0.5418415030220606,0.2827924554469177,0.25
7,Eevaluaci_on de los recursos turisticos.magdalena.pdf,bbidf,2731,6,1084,0.4,0.3333333333333333,0.3636363636363636,0.34519134224686937,0.3,0.5,0.37499999999999994,0.3954551734183064,0.25,0.8333333333333334,0.3846153846153846,0.5469405339889141,0.12,1.0,0.21428571428571425,0.6129394191381858,0.34318064182194613,0.5
7,Eevaluaci_on de los recursos turisticos.magdalena.pdf,textrank,2731,6,1084,0.4,0.3333333333333333,0.3636363636363636,0.36005461457723403,0.4,0.6666666666666666,0.5,0.5041767792801809,0.25,0.8333333333333334,0.3846153846153846,0.5885855878626811,0.12,1.0,0.21428571428571425,0.6471168844316629,0.4001623376623376,0.5
8,Gestion_Municipal_y_Desarrollo_Turistico_de_la_ciu.pdf,tfidf,1830,6,723,0.2,0.16666666666666666,0.1818181818181818,0.3391602052736161,0.3,0.5,0.37499999999999994,0.5058520011127917,0.25,0.8333333333333334,0.3846153846153846,0.6511191509654378,0.12,1.0,0.21428571428571425,0.7180138716387408,0.4181397306397307,1.0
8,Gestion_Municipal_y_Desarrollo_Turistico_de_la_ciu.pdf,bbidf,1830,6,723,0.4,0.3333333333333333,0.3636363636363636,0.34519134224686937,0.3,0.5,0.37499999999999994,0.39907586254035626,0.2,0.6666666666666666,0.30769230769230765,0.4808505802895283,0.12,1.0,0.21428571428571425,0.6088683382834353,0.3329059829059829,0.5
8,Gestion_Municipal_y_Desarrollo_Turistico_de_la_ciu.pdf,textrank,1830,6,723,0.2,0.16666666666666666,0.1818181818181818,0.16958010263680806,0.2,0.3333333333333333,0.25,0.23877292085081492,0.2,0.6666666666666666,0.30769230769230765,0.38948660940128865,0.08,0.6666666666666666,0.14285714285714285,0.38948660940128865,0.1946407904308396,0.3333333333333333
9,Innovación MYPES en turismo.pdf,tfidf,6737,5,1528,0.4,0.4,0.4000000000000001,0.5087403079104241,0.3,0.6,0.4,0.6217937096682962,0.25,1.0,0.4,0.8054803265931949,0.1,1.0,0.18181818181818182,0.8054803265931949,0.5686979686979686,1.0
9,Innovación MYPES en turismo.pdf,bbidf,6737,5,1528,0.4,0.4,0.4000000000000001,0.36005461457723403,0.4,0.8,0.5333333333333333,0.5939193190346003,0.25,1.0,0.4,0.6829995892528345,0.1,1.0,0.18181818181818182,0.6829995892528345,0.49120879120879113,0.5
9,Innovación MYPES en turismo.pdf,textrank,6737,5,1528,0.4,0.4,0.4000000000000001,0.30078518014914984,0.5,1.0,0.6666666666666666,0.6306870103388195,0.25,1.0,0.4,0.6306870103388195,0.1,1.0,0.18181818181818182,0.6306870103388195,0.45777777777777773,0.3333333333333333
11,Orosco Tuesta Lesly Fiorela.pdf,tfidf,3385,4,1124,0.4,0.5,0.4444444444444445,0.5413996682199069,0.3,0.75,0.4285714285714285,0.664550862590272,0.2,1.0,0.33333333333333337,0.7734446236585042,0.08,1.0,0.14814814814814814,0.7734446236585042,0.5346590909090909,1.0
11,Orosco Tuesta Lesly Fiorela.pdf,bbidf,3385,4,1124,0.4,0.5,0.4444444444444445,0.3973220069685352,0.3,0.75,0.4285714285714285,0.5274486902992358,0.2,1.0,0.33333333333333337,0.6363424513674679,0.08,1.0,0.14814814814814814,0.6363424513674679,0.423051948051948,0.5
