doc_id,metric,tfidf,bbidf,diff,improvement_pct
6,nDCG@5,0.7227265726449519,0.6843515475204855,-0.03837502512446633,-5.309757047402563
7,nDCG@5,0.27727342735504823,0.34519134224686937,0.06791791489182114,24.494923851773343
8,nDCG@5,0.3391602052736161,0.34519134224686937,0.006031136973253248,1.7782560805999197
9,nDCG@5,0.5087403079104241,0.36005461457723403,-0.1486856933331901,-29.226245890343282
11,nDCG@5,0.5413996682199069,0.3973220069685352,-0.14407766125137172,-26.612070473757647
13,nDCG@5,0.6548086577531307,0.5531464700081437,-0.10166218774498703,-15.52548008357499
15,nDCG@5,0.30078518014914984,0.16958010263680806,-0.13120507751234178,-43.62085839710632
16,nDCG@5,1.0,1.0,0.0,0.0
17,nDCG@5,0.14606834984270645,0.16958010263680806,0.023511752794101615,16.096404744368115
18,nDCG@5,0.30078518014914984,0.27727342735504823,-0.023511752794101615,-7.816792297560299
19,nDCG@5,0.5147714448836774,0.7860137352654724,0.2712422903817949,52.691790323196216
20,nDCG@5,0.6608397947263839,0.6843515475204855,0.02351175279410167,3.557859708469365
21,nDCG@5,0.13120507751234178,0.21398626473452756,0.08278118722218578,63.09297535714574
22,nDCG@5,0.4144299250118475,0.3191471544989227,-0.09528277051292477,-22.99128628566117
23,nDCG@5,0.7227265726449519,0.7227265726449519,0.0,0.0
24,nDCG@5,0.8539316501572937,0.7227265726449519,-0.13120507751234178,-15.364821937232787
25,nDCG@5,1.0,1.0,0.0,0.0
26,nDCG@5,0.8318724637288826,0.8048099750039491,-0.027062488724933442,-3.253201651083073
27,nDCG@5,0.6548086577531307,0.6992148198508501,0.044406162097719415,6.781547795976298
28,nDCG@5,0.14606834984270645,0.21398626473452756,0.06791791489182111,46.497352071792726
29,nDCG@5,0.38356636737133565,0.5296347172140421,0.14606834984270645,38.08163652192575
30,nDCG@5,0.5855700749881525,0.5585075862632192,-0.02706248872493333,-4.621562795107121
31,nDCG@5,0.7227265726449519,0.6992148198508501,-0.02351175279410178,-3.253201651083087
32,nDCG@5,0.5855700749881525,0.6096199500078984,0.02404987501974587,4.107087442990057
0,P@10,0.2,0.2,0.0,0.0
1,P@10,0.1,0.1,0.0,0.0
2,P@10,0.4,0.4,0.0,0.0
3,P@10,0.3,0.3,0.0,0.0
4,P@10,0.2,0.2,0.0,0.0
5,P@10,0.8,0.8,0.0,0.0
6,P@10,0.5,0.5,0.0,0.0
7,P@10,0.2,0.3,0.09999999999999998,49.999999999999986
8,P@10,0.3,0.3,0.0,0.0
9,P@10,0.3,0.4,0.10000000000000003,33.33333333333335
11,P@10,0.3,0.3,0.0,0.0
13,P@10,0.3,0.4,0.10000000000000003,33.33333333333335
15,P@10,0.4,0.4,0.0,0.0
16,P@10,0.8,0.8,0.0,0.0
17,P@10,0.2,0.2,0.0,0.0
18,P@10,0.5,0.5,0.0,0.0
19,P@10,0.5,0.6,0.09999999999999998,19.999999999999996
20,P@10,0.5,0.7,0.19999999999999996,39.99999999999999
21,P@10,0.1,0.1,0.0,0.0
22,P@10,0.3,0.3,0.0,0.0
23,P@10,0.4,0.5,0.09999999999999998,24.999999999999993
24,P@10,0.4,0.5,0.09999999999999998,24.999999999999993
25,P@10,0.6,0.6,0.0,0.0
26,P@10,0.3,0.3,0.0,0.0
27,P@10,0.4,0.3,-0.10000000000000003,-25.000000000000007
28,P@10,0.3,0.4,0.10000000000000003,33.33333333333335
29,P@10,0.3,0.3,0.0,0.0
30,P@10,0.2,0.3,0.09999999999999998,49.999999999999986
31,P@10,0.4,0.5,0.09999999999999998,24.999999999999993
32,P@10,0.4,0.4,0.0,0.0
0,R@10,0.14285714285714285,0.14285714285714285,0.0,0.0
1,R@10,0.2,0.2,0.0,0.0
2,R@10,1.0,1.0,0.0,0.0
3,R@10,0.42857142857142855,0.42857142857142855,0.0,0.0
4,R@10,0.4,0.4,0.0,0.0
5,R@10,0.7272727272727273,0.7272727272727273,0.0,0.0
6,R@10,0.7142857142857143,0.7142857142857143,0.0,0.0
7,R@10,0.3333333333333333,0.5,0.16666666666666669,50.000000000000014
8,R@10,0.5,0.5,0.0,0.0
9,R@10,0.6,0.8,0.20000000000000007,33.33333333333335
11,R@10,0.75,0.75,0.0,0.0
13,R@10,0.5,0.6666666666666666,0.16666666666666663,33.33333333333333
15,R@10,0.5714285714285714,0.5714285714285714,0.0,0.0
16,R@10,0.7272727272727273,0.7272727272727273,0.0,0.0
17,R@10,0.2857142857142857,0.2857142857142857,0.0,0.0
18,R@10,1.0,1.0,0.0,0.0
19,R@10,0.8333333333333334,1.0,0.16666666666666663,19.999999999999996
20,R@10,0.5555555555555556,0.7777777777777778,0.2222222222222222,40.0
21,R@10,0.16666666666666666,0.16666666666666666,0.0,0.0
22,R@10,0.75,0.75,0.0,0.0
23,R@10,0.4,0.5,0.09999999999999998,24.999999999999993
24,R@10,0.6666666666666666,0.8333333333333334,0.16666666666666674,25.00000000000001
25,R@10,1.0,1.0,0.0,0.0
26,R@10,0.75,0.75,0.0,0.0
27,R@10,0.5714285714285714,0.42857142857142855,-0.14285714285714285,-25.0
28,R@10,0.42857142857142855,0.5714285714285714,0.14285714285714285,33.33333333333333
29,R@10,0.6,0.6,0.0,0.0
30,R@10,0.5,0.75,0.25,50.0
31,R@10,0.5,0.625,0.125,25.0
32,R@10,1.0,1.0,0.0,0.0
0,F1@10,0.16666666666666666,0.16666666666666666,0.0,0.0
1,F1@10,0.13333333333333333,0.13333333333333333,0.0,0.0
2,F1@10,0.5714285714285715,0.5714285714285715,0.0,0.0
3,F1@10,0.3529411764705882,0.3529411764705882,0.0,0.0
4,F1@10,0.26666666666666666,0.26666666666666666,0.0,0.0
5,F1@10,0.761904761904762,0.761904761904762,0.0,0.0
6,F1@10,0.588235294117647,0.588235294117647,0.0,0.0
7,F1@10,0.25,0.37499999999999994,0.12499999999999994,49.99999999999998
8,F1@10,0.37499999999999994,0.37499999999999994,0.0,0.0
9,F1@10,0.4,0.5333333333333333,0.1333333333333333,33.33333333333333
11,F1@10,0.4285714285714285,0.4285714285714285,0.0,0.0
13,F1@10,0.37499999999999994,0.5,0.12500000000000006,33.33333333333336
15,F1@10,0.47058823529411764,0.47058823529411764,0.0,0.0
16,F1@10,0.761904761904762,0.761904761904762,0.0,0.0
17,F1@10,0.23529411764705882,0.23529411764705882,0.0,0.0
18,F1@10,0.6666666666666666,0.6666666666666666,0.0,0.0
19,F1@10,0.625,0.7499999999999999,0.12499999999999989,19.999999999999982
20,F1@10,0.5263157894736842,0.7368421052631577,0.21052631578947356,39.99999999999998
21,F1@10,0.125,0.125,0.0,0.0
22,F1@10,0.4285714285714285,0.4285714285714285,0.0,0.0
23,F1@10,0.4000000000000001,0.5,0.09999999999999992,24.999999999999975
24,F1@10,0.5,0.625,0.125,25.0
25,F1@10,0.7499999999999999,0.7499999999999999,0.0,0.0
26,F1@10,0.4285714285714285,0.4285714285714285,0.0,0.0
27,F1@10,0.47058823529411764,0.3529411764705882,-0.11764705882352944,-25.000000000000007
28,F1@10,0.3529411764705882,0.47058823529411764,0.11764705882352944,33.33333333333334
29,F1@10,0.4,0.4,0.0,0.0
30,F1@10,0.28571428571428575,0.4285714285714285,0.14285714285714274,49.99999999999995
31,F1@10,0.4444444444444445,0.5555555555555556,0.1111111111111111,24.999999999999996
32,F1@10,0.5714285714285715,0.5714285714285715,0.0,0.0
0,nDCG@10,0.28952298823485745,0.2934556883974402,0.003932700162582736,1.358337790915787
1,nDCG@10,0.09803928583135704,0.14606834984270645,0.048029064011349404,48.989610240497804
2,nDCG@10,0.7315682114753617,0.8927537907700456,0.1611855792946839,22.032884530291327
3,nDCG@10,0.46792684243864047,0.5277610693352978,0.059834226896657294,12.787090089729869
4,nDCG@10,0.5531464700081437,0.5087403079104241,-0.044406162097719526,-8.027921085181248
5,nDCG@10,0.8701249883466593,0.857980942822373,-0.012144045524286273,-1.3956667934984146
6,nDCG@10,0.7703689102037634,0.7441790405874917,-0.026189869616271677,-3.3996529804589892
7,nDCG@10,0.24738635904833417,0.3954551734183064,0.1480688143699722,59.85326553152538
8,nDCG@10,0.5058520011127917,0.39907586254035626,-0.10677613857243545,-21.108177557377534
9,nDCG@10,0.6217937096682962,0.5939193190346003,-0.0278743906336959,-4.482900068025109
11,nDCG@10,0.664550862590272,0.5274486902992358,-0.13710217229103616,-20.630801945940192
13,nDCG@10,0.5842273861585908,0.6818624649454273,0.09763507878683653,16.711828493492277
15,nDCG@10,0.43331321714210663,0.4097225574171969,-0.023590659724909757,-5.444251130971875
16,nDCG@10,0.866947989864271,0.8701249883466593,0.0031769984823882824,0.36645779441574944
17,nDCG@10,0.20112881426068294,0.22415199495126514,0.023023180690582207,11.44698275839377
18,nDCG@10,0.6306870103388195,0.6132355269353261,-0.01745148340349334,-2.7670592730486088
19,nDCG@10,0.6556125703220435,0.9001715370445234,0.2445589667224799,37.302360844355086
20,nDCG@10,0.5259200450269614,0.7654671039995544,0.23954705897259299,45.548189546628244
21,nDCG@10,0.11706259313796354,0.19092086617893467,0.07385827304097113,63.092975357145754
22,nDCG@10,0.5375811193822125,0.44927383782962327,-0.08830728155258927,-16.42678255777879
23,nDCG@10,0.5473983622993502,0.6136525857537393,0.06625422345438903,12.103474912874738
