doc_id,metric,textrank,bbidf,tfidf,bbidf_gap_to_textrank,bbidf_pct_of_textrank
19,P@20,0.3,0.3,0.3,0.0,100.0
20,P@20,0.4,0.4,0.4,0.0,100.0
21,P@20,0.15,0.05,0.05,-0.09999999999999999,33.333333333333336
22,P@20,0.15,0.15,0.15,0.0,100.0
23,P@20,0.25,0.3,0.3,0.04999999999999999,120.0
24,P@20,0.25,0.3,0.3,0.04999999999999999,120.0
25,P@20,0.3,0.3,0.3,0.0,100.0
26,P@20,0.15,0.2,0.2,0.05000000000000002,133.33333333333334
27,P@20,0.25,0.3,0.3,0.04999999999999999,120.0
28,P@20,0.35,0.3,0.3,-0.04999999999999999,85.71428571428572
29,P@20,0.15,0.15,0.15,0.0,100.0
30,P@20,0.15,0.15,0.15,0.0,100.0
31,P@20,0.3,0.3,0.3,0.0,100.0
32,P@20,0.2,0.2,0.2,0.0,100.0
0,R@20,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,100.0
1,R@20,0.2,0.2,0.2,0.0,100.0
2,R@20,1.0,1.0,1.0,0.0,100.0
3,R@20,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.0,100.0
4,R@20,0.6,0.4,0.4,-0.19999999999999996,66.66666666666667
5,R@20,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.0,100.0
6,R@20,1.0,1.0,0.8571428571428571,0.0,100.0
7,R@20,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,100.0
8,R@20,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.0,100.0
9,R@20,1.0,1.0,1.0,0.0,100.0
11,R@20,1.0,1.0,1.0,0.0,100.0
13,R@20,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.16666666666666674,125.00000000000003
15,R@20,0.8571428571428571,0.5714285714285714,0.5714285714285714,-0.2857142857142857,66.66666666666666
16,R@20,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.0,100.0
17,R@20,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.0,100.0
18,R@20,1.0,1.0,1.0,0.0,100.0
19,R@20,1.0,1.0,1.0,0.0,100.0
20,R@20,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.0,100.0
21,R@20,0.5,0.16666666666666666,0.16666666666666666,-0.33333333333333337,33.33333333333333
22,R@20,0.75,0.75,0.75,0.0,100.0
23,R@20,0.5,0.6,0.6,0.09999999999999998,120.0
24,R@20,0.8333333333333334,1.0,1.0,0.16666666666666663,120.0
25,R@20,1.0,1.0,1.0,0.0,100.0
26,R@20,0.75,1.0,1.0,0.25,133.33333333333331
27,R@20,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.1428571428571428,120.0
28,R@20,1.0,0.8571428571428571,0.8571428571428571,-0.1428571428571429,85.71428571428571
29,R@20,0.6,0.6,0.6,0.0,100.0
30,R@20,0.75,0.75,0.75,0.0,100.0
31,R@20,0.75,0.75,0.75,0.0,100.0
32,R@20,1.0,1.0,1.0,0.0,100.0
0,F1@20,0.11764705882352941,0.11764705882352941,0.23529411764705882,0.0,100.0
1,F1@20,0.08000000000000002,0.08000000000000002,0.08000000000000002,0.0,100.0
2,F1@20,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.0,100.0
3,F1@20,0.29629629629629634,0.29629629629629634,0.29629629629629634,0.0,100.0
4,F1@20,0.24,0.16000000000000003,0.16000000000000003,-0.07999999999999996,66.66666666666669
5,F1@20,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.0,100.0
6,F1@20,0.5185185185185185,0.5185185185185185,0.4444444444444444,0.0,100.0
7,F1@20,0.3846153846153846,0.3846153846153846,0.3846153846153846,0.0,100.0
8,F1@20,0.30769230769230765,0.30769230769230765,0.3846153846153846,0.0,100.0
9,F1@20,0.4,0.4,0.4,0.0,100.0
11,F1@20,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.0,100.0
13,F1@20,0.30769230769230765,0.3846153846153846,0.30769230769230765,0.07692307692307693,125.0
15,F1@20,0.4444444444444444,0.29629629629629634,0.29629629629629634,-0.14814814814814808,66.66666666666667
16,F1@20,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.0,100.0
17,F1@20,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,100.0
18,F1@20,0.4,0.4,0.4,0.0,100.0
19,F1@20,0.4615384615384615,0.4615384615384615,0.4615384615384615,0.0,100.0
20,F1@20,0.5517241379310346,0.5517241379310346,0.5517241379310346,0.0,100.0
21,F1@20,0.23076923076923075,0.07692307692307691,0.07692307692307691,-0.15384615384615385,33.33333333333333
22,F1@20,0.24999999999999997,0.24999999999999997,0.24999999999999997,0.0,100.0
23,F1@20,0.3333333333333333,0.4,0.4,0.06666666666666671,120.00000000000001
24,F1@20,0.3846153846153846,0.4615384615384615,0.4615384615384615,0.07692307692307693,120.0
25,F1@20,0.4615384615384615,0.4615384615384615,0.4615384615384615,0.0,100.0
26,F1@20,0.24999999999999997,0.33333333333333337,0.33333333333333337,0.0833333333333334,133.33333333333337
27,F1@20,0.37037037037037035,0.4444444444444444,0.4444444444444444,0.07407407407407407,120.0
28,F1@20,0.5185185185185185,0.4444444444444444,0.4444444444444444,-0.07407407407407407,85.71428571428571
29,F1@20,0.24,0.24,0.24,0.0,100.0
30,F1@20,0.24999999999999997,0.24999999999999997,0.24999999999999997,0.0,100.0
31,F1@20,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.0,100.0
32,F1@20,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.0,100.0
0,nDCG@20,0.247151452329357,0.2376137309262018,0.32382259040358624,-0.009537721403155203,96.14094057984934
1,nDCG@20,0.3391602052736161,0.14606834984270645,0.09803928583135704,-0.19309185543090968,43.06765580733931
2,nDCG@20,0.9828920819566879,0.8927537907700456,0.7315682114753617,-0.0901382911866423,90.82927893699176
3,nDCG@20,0.631315484925653,0.5936798407326767,0.5338456138360194,-0.03763564419297638,94.03853618489833
4,nDCG@20,0.34140313762622626,0.5087403079104241,0.5531464700081437,0.16733717028419787,149.01453790017632
5,nDCG@20,0.8106156885134234,0.8083536503044675,0.8197952605303637,-0.0022620382089558744,99.72094813349786
6,nDCG@20,0.847837690057094,0.8831694523315587,0.8390879934323361,0.03533176227446477,104.16727903097649
7,nDCG@20,0.5885855878626811,0.5469405339889141,0.4758426178727888,-0.041645053873767046,92.92455426491296
8,nDCG@20,0.38948660940128865,0.4808505802895283,0.6511191509654378,0.09136397088823967,123.45753838076297
9,nDCG@20,0.6306870103388195,0.6829995892528345,0.8054803265931949,0.052312578914015084,108.29453882138964
11,nDCG@20,0.801479410942855,0.6363424513674679,0.7734446236585042,-0.1651369595753871,79.39598231461478
13,nDCG@20,0.6761654685931913,0.7518780706786133,0.6582592306673591,0.07571260208542208,111.19734822349731
15,nDCG@20,0.5483366395737473,0.4097225574171969,0.43331321714210663,-0.13861408215655047,74.72098850364934
16,nDCG@20,0.8168020258417209,0.8197952605303637,0.8168020258417209,0.002993234688642765,100.36645779441575
