doc_id,doc,k,metric,algo,similarity
7,doc8,10,jaccard,bbidf,0.666667
7,doc8,10,overlap,bbidf,0.8
7,doc8,20,rbo,bbidf,0.825905
7,doc8,20,jaccard,bbidf,0.481481
7,doc8,20,overlap,bbidf,0.65
7,doc8,50,rbo,bbidf,0.811921
7,doc8,50,jaccard,bbidf,0.785714
7,doc8,50,overlap,bbidf,0.88
8,doc9,5,rbo,tfidf,0.613875
8,doc9,5,jaccard,tfidf,0.666667
8,doc9,5,overlap,tfidf,0.8
8,doc9,10,rbo,tfidf,0.637918
8,doc9,10,jaccard,tfidf,0.666667
8,doc9,10,overlap,tfidf,0.8
8,doc9,20,rbo,tfidf,0.658711
8,doc9,20,jaccard,tfidf,0.538462
8,doc9,20,overlap,tfidf,0.7
8,doc9,50,rbo,tfidf,0.665396
8,doc9,50,jaccard,tfidf,0.639344
8,doc9,50,overlap,tfidf,0.78
8,doc9,5,rbo,bbidf,0.858069
8,doc9,5,jaccard,bbidf,0.666667
8,doc9,5,overlap,bbidf,0.8
8,doc9,10,rbo,bbidf,0.800632
8,doc9,10,jaccard,bbidf,0.666667
8,doc9,10,overlap,bbidf,0.8
8,doc9,20,rbo,bbidf,0.818767
8,doc9,20,jaccard,bbidf,0.73913
8,doc9,20,overlap,bbidf,0.85
8,doc9,50,rbo,bbidf,0.81569
8,doc9,50,jaccard,bbidf,0.694915
8,doc9,50,overlap,bbidf,0.82
9,doc10,5,rbo,tfidf,0.503438
9,doc10,5,jaccard,tfidf,0.666667
9,doc10,5,overlap,tfidf,0.8
9,doc10,10,rbo,tfidf,0.58337
9,doc10,10,jaccard,tfidf,0.538462
9,doc10,10,overlap,tfidf,0.7
9,doc10,20,rbo,tfidf,0.616999
9,doc10,20,jaccard,tfidf,0.6
9,doc10,20,overlap,tfidf,0.75
9,doc10,50,rbo,tfidf,0.635374
9,doc10,50,jaccard,tfidf,0.724138
9,doc10,50,overlap,tfidf,0.84
9,doc10,5,rbo,bbidf,0.569371
9,doc10,5,jaccard,bbidf,0.666667
9,doc10,5,overlap,bbidf,0.8
9,doc10,10,rbo,bbidf,0.662405
9,doc10,10,jaccard,bbidf,0.666667
9,doc10,10,overlap,bbidf,0.8
9,doc10,20,rbo,bbidf,0.674863
9,doc10,20,jaccard,bbidf,0.666667
9,doc10,20,overlap,bbidf,0.8
9,doc10,50,rbo,bbidf,0.688347
9,doc10,50,jaccard,bbidf,0.694915
9,doc10,50,overlap,bbidf,0.82
11,doc12,5,rbo,tfidf,0.747633
11,doc12,5,jaccard,tfidf,0.666667
11,doc12,5,overlap,tfidf,0.8
11,doc12,10,rbo,tfidf,0.79209
11,doc12,10,jaccard,tfidf,0.818182
11,doc12,10,overlap,tfidf,0.9
11,doc12,20,rbo,tfidf,0.821928
11,doc12,20,jaccard,tfidf,0.818182
11,doc12,20,overlap,tfidf,0.9
11,doc12,50,rbo,tfidf,0.822401
11,doc12,50,jaccard,tfidf,0.5625
11,doc12,50,overlap,tfidf,0.72
11,doc12,5,rbo,bbidf,0.679258
11,doc12,5,jaccard,bbidf,0.666667
11,doc12,5,overlap,bbidf,0.8
11,doc12,10,rbo,bbidf,0.7491
11,doc12,10,jaccard,bbidf,0.818182
11,doc12,10,overlap,bbidf,0.9
11,doc12,20,rbo,bbidf,0.787579
11,doc12,20,jaccard,bbidf,0.818182
11,doc12,20,overlap,bbidf,0.9
11,doc12,50,rbo,bbidf,0.79272
11,doc12,50,jaccard,bbidf,0.612903
11,doc12,50,overlap,bbidf,0.76
13,doc14,5,rbo,tfidf,0.781522
13,doc14,5,jaccard,tfidf,0.428571
13,doc14,5,overlap,tfidf,0.6
13,doc14,10,rbo,tfidf,0.686503
13,doc14,10,jaccard,tfidf,0.333333
13,doc14,10,overlap,tfidf,0.5
13,doc14,20,rbo,tfidf,0.659988
13,doc14,20,jaccard,tfidf,0.428571
13,doc14,20,overlap,tfidf,0.6
13,doc14,50,rbo,tfidf,0.657995
13,doc14,50,jaccard,tfidf,0.538462
13,doc14,50,overlap,tfidf,0.7
13,doc14,5,rbo,bbidf,0.647215
13,doc14,5,jaccard,bbidf,0.428571
13,doc14,5,overlap,bbidf,0.6
13,doc14,10,rbo,bbidf,0.681534
13,doc14,10,jaccard,bbidf,0.538462
13,doc14,10,overlap,bbidf,0.7
13,doc14,20,rbo,bbidf,0.667332
13,doc14,20,jaccard,bbidf,0.428571
13,doc14,20,overlap,bbidf,0.6
13,doc14,50,rbo,bbidf,0.666862
13,doc14,50,jaccard,bbidf,0.666667
13,doc14,50,overlap,bbidf,0.8
15,doc16,5,rbo,tfidf,0.825477
15,doc16,5,jaccard,tfidf,0.428571
15,doc16,5,overlap,tfidf,0.6
15,doc16,10,rbo,tfidf,0.850213
15,doc16,10,jaccard,tfidf,0.818182
15,doc16,10,overlap,tfidf,0.9
15,doc16,20,rbo,tfidf,0.807744
15,doc16,20,jaccard,tfidf,0.428571
15,doc16,20,overlap,tfidf,0.6
15,doc16,50,rbo,tfidf,0.782981
15,doc16,50,jaccard,tfidf,0.5625
15,doc16,50,overlap,tfidf,0.72
15,doc16,5,rbo,bbidf,0.902024
15,doc16,5,jaccard,bbidf,0.666667
15,doc16,5,overlap,bbidf,0.8
15,doc16,10,rbo,bbidf,0.874052
15,doc16,10,jaccard,bbidf,0.818182
15,doc16,10,overlap,bbidf,0.9
15,doc16,20,rbo,bbidf,0.852048
15,doc16,20,jaccard,bbidf,0.6
15,doc16,20,overlap,bbidf,0.75
15,doc16,50,rbo,bbidf,0.839225
15,doc16,50,jaccard,bbidf,0.639344
15,doc16,50,overlap,bbidf,0.78
16,doc17,5,rbo,tfidf,0.537328
16,doc17,5,jaccard,tfidf,0.428571
16,doc17,5,overlap,tfidf,0.6
16,doc17,10,rbo,tfidf,0.635574
16,doc17,10,jaccard,tfidf,0.818182
16,doc17,10,overlap,tfidf,0.9
16,doc17,20,rbo,tfidf,0.668116
16,doc17,20,jaccard,tfidf,0.481481
16,doc17,20,overlap,tfidf,0.65
16,doc17,50,rbo,tfidf,0.664884
16,doc17,50,jaccard,tfidf,0.5625
16,doc17,50,overlap,tfidf,0.72
16,doc17,5,rbo,bbidf,0.569371
16,doc17,5,jaccard,bbidf,0.666667
16,doc17,5,overlap,bbidf,0.8
16,doc17,10,rbo,bbidf,0.706776
16,doc17,10,jaccard,bbidf,0.818182
16,doc17,10,overlap,bbidf,0.9
16,doc17,20,rbo,bbidf,0.744988
16,doc17,20,jaccard,bbidf,0.666667
16,doc17,20,overlap,bbidf,0.8
16,doc17,50,rbo,bbidf,0.754515
16,doc17,50,jaccard,bbidf,0.724138
16,doc17,50,overlap,bbidf,0.84
17,doc18,5,rbo,tfidf,0.393001
17,doc18,5,jaccard,tfidf,0.666667
17,doc18,5,overlap,tfidf,0.8
17,doc18,10,rbo,tfidf,0.527409
17,doc18,10,jaccard,tfidf,0.428571
17,doc18,10,overlap,tfidf,0.6
17,doc18,20,rbo,tfidf,0.558594
17,doc18,20,jaccard,tfidf,0.6
17,doc18,20,overlap,tfidf,0.75
17,doc18,50,rbo,tfidf,0.582763
