doc_id,file,algorithm,keywords
22,capacidad de carga turística.pdf,bbidf,"yumbilla, catarata, turístico, carga, capacidad, visitante, conservación, manejo, cuispes, recurso"
22,capacidad de carga turística.pdf,textrank,"turístico, yumbilla, capacidad, catarata, visitante, carga, recurso, conservación, investigación, natural"
23,estategias de marketin. desarrollo turistico.pdf,tfidf,"levanto, turístico, marketing, desacuerdo, totalmente, desarrollo, neutral, estrategia, estar, nivel"
23,estategias de marketin. desarrollo turistico.pdf,bbidf,"turístico, levanto, marketing, desacuerdo, totalmente, desarrollo, estar, turismo, distrito, destino"
23,estategias de marketin. desarrollo turistico.pdf,textrank,"turístico, levanto, marketing, desarrollo, estrategia, nivel, turismo, investigación, destino, distrito"
24,festividades folkloricas y actividades turisticas.pdf,tfidf,"folclórico, festividad, turístico, chachapoyas, actividad, visitante, ciudad, desacuerdo, tabla, afirmación"
24,festividades folkloricas y actividades turisticas.pdf,bbidf,"turístico, festividad, folclórico, chachapoyas, visitante, ciudad, actividad, desacuerdo, totalmente, turismo"
24,festividades folkloricas y actividades turisticas.pdf,textrank,"turístico, chachapoyas, festividad, actividad, folclórico, visitante, cultural, ciudad, turismo, investigación"
25,guias de turismo en chachapoyas.pdf,tfidf,"satisfacción, servicio, turista, guía, calidad, nivel, turismo, fiabilidad, correlación, empatía"
25,guias de turismo en chachapoyas.pdf,bbidf,"satisfacción, guía, turista, servicio, turismo, calidad, nivel, turístico, chachapoyas, fiabilidad"
25,guias de turismo en chachapoyas.pdf,textrank,"servicio, turista, satisfacción, guía, calidad, turismo, nivel, chachapoyas, turístico, relación"
26,identidad cultural y artesania.pdf,tfidf,"textil, cultural, identidad, jalca, artesanía, asociación, artesanal, distrito, pertenencia, tradicional"
26,identidad cultural y artesania.pdf,bbidf,"textil, cultural, artesanía, identidad, asociación, jalca, distrito, artesanal, tradicional, diseño"
26,identidad cultural y artesania.pdf,textrank,"cultural, textil, identidad, artesanía, asociación, jalca, distrito, tradicional, artesanal, diseño"
27,paisajes culturales.pdf,tfidf,"cultural, paisaje, turístico, desarrollo, chachapoyas, ciudad, turismo, paisajes, natural, patrimonio"
27,paisajes culturales.pdf,bbidf,"cultural, turístico, paisaje, desarrollo, chachapoyas, turismo, ciudad, potencial, natural, patrimonio"
27,paisajes culturales.pdf,textrank,"cultural, paisaje, turístico, desarrollo, chachapoyas, turismo, natural, ciudad, local, patrimonio"
28,percepción del impacto.pdf,tfidf,"colcamar, preocupado, afectado, turismo, distrito, ñeque, percepción, issn, turístico, desarrollo"
